case_id;start_time;end_time;start_date_month;end_date_month;first_activity;last_activity;path_id;first_activity_grouped;last_activity_grouped;path_id_grouped;duration_seconds;duration_days;count_events;count_activities;count_events_grouped;count_activities_grouped;count_loops;count_self_loops;has_loops_or_self_loops;cost_total;automation_rate;unique_variant;unique_variant_text;unique_variant_grouped;unique_variant_text_grouped;case_po_number;case_po_item
1-1;2023-01-04T09:41:54.000Z;2023-01-09T12:54:42.000Z;1/1/2023;1/1/2023;Lehne Genehmigung ab;Ändere Bestellposition: Menge;58;Lehne Genehmigung ab;Ändere Bestellposition;17;443568;5.13;3;3;2;3;0;0;0;0;0.000;0;No;0;No;1;1
1-2;2023-01-04T09:41:54.000Z;2023-01-08T12:54:42.000Z;1/1/2023;1/1/2023;Lehne Genehmigung ab;Ändere Bestellposition: Preis;32;Lehne Genehmigung ab;Ändere Bestellposition;17;357168;4.13;3;3;2;3;0;0;0;0;0.000;0;No;0;No;1;2
2-1;2023-01-06T08:25:05.000Z;2023-01-16T13:46:29.000Z;1/1/2023;1/1/2023;Lege Bestellposition an;Gleiche Rechnung aus;20;Lege Bestellposition an;Gleiche Rechnung aus;21;883284;10.22;4;4;3;4;0;0;0;0;0.000;0;No;0;No;2;1
2-2;2023-01-06T08:25:05.000Z;2023-01-16T13:46:29.000Z;1/1/2023;1/1/2023;Lege Bestellposition an;Gleiche Rechnung aus;20;Lege Bestellposition an;Gleiche Rechnung aus;21;883284;10.22;4;4;3;4;0;0;0;0;0.000;0;No;0;No;2;2
3-1;2023-01-09T13:06:15.000Z;2023-01-16T11:58:10.000Z;1/1/2023;1/1/2023;Lege Bestellposition an;Gleiche Rechnung aus;105;Lege Bestellposition an;Gleiche Rechnung aus;56;600715;6.95;6;6;5;6;0;0;0;0;0.000;0;No;0;No;3;1
3-2;2023-01-09T13:06:15.000Z;2023-01-16T11:58:10.000Z;1/1/2023;1/1/2023;Lege Bestellposition an;Gleiche Rechnung aus;29;Lege Bestellposition an;Gleiche Rechnung aus;25;600715;6.95;5;5;4;5;0;0;0;0;0.000;0;No;0;No;3;2
4-1;2023-01-12T12:35:38.000Z;2023-01-15T12:35:38.000Z;1/1/2023;1/1/2023;Lege Bestellposition an;Ändere Bestellposition: Material;18;Lege Bestellposition an;Ändere Bestellposition;10;259200;3;2;2;1;2;0;0;0;0;0.000;0;No;0;No;4;1
4-2;2023-01-12T12:35:38.000Z;2023-01-17T12:35:38.000Z;1/1/2023;1/1/2023;Lege Bestellposition an;Ändere Bestellposition: Menge;21;Lege Bestellposition an;Ändere Bestellposition;10;432000;5;2;2;1;2;0;0;0;0;0.000;0;No;0;No;4;2
5-1;2023-01-16T11:34:41.000Z;2023-01-30T15:32:52.000Z;1/1/2023;1/1/2023;Erteile Genehmigung;Erfasse Rechnung;106;Erteile Genehmigung;Erfasse Rechnung;36;1223891;14.16;5;5;4;5;0;0;0;0;0.000;0;No;0;No;5;1
5-2;2023-01-16T11:34:41.000Z;2023-01-30T15:32:52.000Z;1/1/2023;1/1/2023;Erteile Genehmigung;Erfasse Rechnung;34;Erteile Genehmigung;Erfasse Rechnung;29;1223891;14.16;4;4;3;4;0;0;0;0;0.000;0;No;0;No;5;2
5-3;2023-01-16T11:34:41.000Z;2023-01-30T15:32:52.000Z;1/1/2023;1/1/2023;Erteile Genehmigung;Erfasse Rechnung;34;Erteile Genehmigung;Erfasse Rechnung;29;1223891;14.16;4;4;3;4;0;0;0;0;0.000;0;No;0;No;5;3
5-4;2023-01-16T11:34:41.000Z;2023-01-30T15:32:52.000Z;1/1/2023;1/1/2023;Erteile Genehmigung;Erfasse Rechnung;69;Erteile Genehmigung;Erfasse Rechnung;29;1223891;14.16;4;4;3;4;0;0;0;0;0.000;0;No;0;No;5;4
6-1;2023-01-17T11:27:57.000Z;2023-01-30T14:59:18.000Z;1/1/2023;1/1/2023;Lege Bestellposition an;Erfasse Rechnung;70;Lege Bestellposition an;Erfasse Rechnung;31;1135881;13.14;4;4;3;4;0;0;0;0;0.000;0;No;0;No;6;1
6-2;2023-01-17T11:27:57.000Z;2023-01-30T14:59:18.000Z;1/1/2023;1/1/2023;Lege Bestellposition an;Erfasse Rechnung;27;Lege Bestellposition an;Erfasse Rechnung;12;1135881;13.14;3;3;2;3;0;0;0;0;0.000;0;No;0;No;6;2
7-1;2023-01-19T12:48:01.000Z;2023-01-23T13:25:38.000Z;1/1/2023;1/1/2023;Lege Bestellposition an;Erteile Genehmigung;1;Lege Bestellposition an;Erteile Genehmigung;1;347857;4.02;2;2;1;2;0;0;0;0;0.000;0;No;0;No;7;1
7-2;2023-01-19T12:48:01.000Z;2023-01-23T13:25:38.000Z;1/1/2023;1/1/2023;Lege Bestellposition an;Erteile Genehmigung;1;Lege Bestellposition an;Erteile Genehmigung;1;347857;4.02;2;2;1;2;0;0;0;0;0.000;0;No;0;No;7;2
7-3;2023-01-19T12:48:01.000Z;2023-01-24T12:48:01.000Z;1/1/2023;1/1/2023;Lege Bestellposition an;Ändere Bestellposition: Menge;15;Lege Bestellposition an;Ändere Bestellposition;4;432000;5;3;3;2;3;0;0;0;0;0.000;0;No;0;No;7;3
7-4;2023-01-19T12:48:01.000Z;2023-01-23T13:25:38.000Z;1/1/2023;1/1/2023;Lege Bestellposition an;Erteile Genehmigung;1;Lege Bestellposition an;Erteile Genehmigung;1;347857;4.02;2;2;1;2;0;0;0;0;0.000;0;No;0;No;7;4
8-1;2023-01-23T13:24:49.000Z;2023-02-06T09:00:54.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;3;Lege Bestellposition an;Erfasse Rechnung;6;1193765;13.81;3;3;2;3;0;0;0;0;0.000;0;No;0;No;8;1
8-2;2023-01-23T13:24:49.000Z;2023-02-06T09:00:54.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;3;Lege Bestellposition an;Erfasse Rechnung;6;1193765;13.81;3;3;2;3;0;0;0;0;0.000;0;No;0;No;8;2
8-3;2023-01-23T13:24:49.000Z;2023-02-06T09:00:54.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;3;Lege Bestellposition an;Erfasse Rechnung;6;1193765;13.81;3;3;2;3;0;0;0;0;0.000;0;No;0;No;8;3
8-4;2023-01-23T13:24:49.000Z;2023-02-06T09:00:54.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;40;Lege Bestellposition an;Erfasse Rechnung;18;1193765;13.81;4;4;3;4;0;0;0;0;0.000;0;No;0;No;8;4
9-1;2023-01-24T08:22:21.000Z;2023-02-06T11:42:02.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;4;Lege Bestellposition an;Erfasse Rechnung;8;1135181;13.13;3;3;2;3;0;0;0;0;0.000;0;No;0;No;9;1
9-2;2023-01-24T08:22:21.000Z;2023-02-06T11:42:02.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;4;Lege Bestellposition an;Erfasse Rechnung;8;1135181;13.13;3;3;2;3;0;0;0;0;0.000;0;No;0;No;9;2
9-3;2023-01-24T08:22:21.000Z;2023-02-06T11:42:02.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;4;Lege Bestellposition an;Erfasse Rechnung;8;1135181;13.13;3;3;2;3;0;0;0;0;0.000;0;No;0;No;9;3
9-4;2023-01-24T08:22:21.000Z;2023-02-06T11:42:02.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;35;Lege Bestellposition an;Erfasse Rechnung;20;1135181;13.13;4;4;3;4;0;0;0;0;0.000;0;No;0;No;9;4
10-1;2023-01-26T15:17:18.000Z;2023-01-26T15:17:18.000Z;1/1/2023;1/1/2023;Lege Bestellposition an;Lege Bestellposition an;2;Lege Bestellposition an;Lege Bestellposition an;2;0;0;1;1;1;1;0;0;0;0;0.000;0;No;0;No;10;1
10-2;2023-01-26T15:17:18.000Z;2023-01-26T15:17:18.000Z;1/1/2023;1/1/2023;Lege Bestellposition an;Lege Bestellposition an;2;Lege Bestellposition an;Lege Bestellposition an;2;0;0;1;1;1;1;0;0;0;0;0.000;0;No;0;No;10;2
11-1;2023-01-30T11:06:15.000Z;2023-02-10T13:31:16.000Z;1/1/2023;2/1/2023;Lege Bestellposition an;Erfasse Rechnung;4;Lege Bestellposition an;Erfasse Rechnung;8;959101;11.1;3;3;2;3;0;0;0;0;0.000;0;No;0;No;11;1
