filter;path_id
Start->Lege Bestellposition an->Fordere Genehmigung Level 1 an->End;0
Start->Lege Bestellposition an->Lehne Genehmigung Level 1 ab->End;1
Start->Lege Bestellposition an->Erteile Genehmigung Level 1->End;2
Start->Lehne Genehmigung Level 1 ab->Lege Bestellposition an->End;3
Start->Lege Bestellposition an->Fordere Genehmigung Level 1 an->Erfasse Rechnung->End;4
Start->Lege Bestellposition an->Erteile Genehmigung Level 1->Lehne Genehmigung Level 2 ab->End;5
Start->Lege Bestellposition an->Lehne Genehmigung Level 1 ab->Lehne Genehmigung Level 2 ab->End;6
Start->Lege Bestellposition an->Fordere Genehmigung Level 1 an->Erteile Genehmigung Level 2->End;7
Start->Erteile Genehmigung Level 1->Lege Bestellposition an->End;8
Start->Fordere Genehmigung Level 1 an->Lege Bestellposition an->End;9
Start->Lege Bestellposition an->Lehne Genehmigung Level 1 ab->Erfasse Rechnung->End;10
Start->Lege Bestellposition an->Fordere Genehmigung Level 1 an->Fordere Genehmigung Level 2 an->End;11
Start->Lege Bestellposition an->Fordere Genehmigung Level 1 an->Lehne Genehmigung Level 2 ab->End;12
Start->Lege Bestellposition an->Lehne Genehmigung Level 1 ab->Ändere Bestellung: Währung->End;13
Start->Lege Bestellposition an->Lehne Genehmigung Level 1 ab->Lehne Wareneingang ab->Erfasse Rechnung->End;14
Start->Lege Bestellposition an->Lehne Genehmigung Level 1 ab->Lehne Genehmigung Level 2 ab->Lehne Genehmigung Level 3 ab->End;15
Start->Fordere Genehmigung Level 1 an->Lege Bestellposition an->Erfasse Rechnung->End;16
Start->Lege Bestellposition an->Lehne Genehmigung Level 1 ab->Fordere Genehmigung Level 2 an->End;17
Start->Lege Bestellposition an->Lehne Genehmigung Level 2 ab->Lehne Genehmigung Level 1 ab->End;18
Start->Lege Bestellposition an->Lehne Genehmigung Level 1 ab->Erteile Genehmigung Level 2->End;19
Start->Lege Bestellposition an->Erteile Genehmigung Level 1->Erteile Genehmigung Level 2->End;20
Start->Erteile Genehmigung Level 1->Lege Bestellposition an->Lehne Genehmigung Level 2 ab->End;21
Start->Lege Bestellposition an->Erteile Genehmigung Level 1->Erfasse Rechnung->End;22
Start->Lege Bestellposition an->Erteile Genehmigung Level 1->Ändere Bestellung: Lieferant->End;23
Start->Lege Bestellposition an->Erteile Genehmigung Level 1->Fordere Genehmigung Level 2 an->Erfasse Rechnung->End;24
Start->Lege Bestellposition an->Lehne Genehmigung Level 1 ab->Ändere Bestellposition: Material->End;25
Start->Lege Bestellposition an->Fordere Genehmigung Level 1 an->Lehne Wareneingang ab->Erfasse Rechnung->End;26
