filter;path_id
Start->Lege Bestellposition an->Lehne Genehmigung ab->End;0
Start->Lege Bestellposition an->Erteile Genehmigung->End;1
Start -> Lege Bestellposition an -> End;2
Start->Lege Bestellposition an->Lehne Genehmigung ab->Ändere Bestellposition->End;3
Start->Lege Bestellposition an->Erteile Genehmigung->Ändere Bestellposition->End;4
Start->Lege Bestellposition an->Lehne Genehmigung ab->Wareneingang erfasst->Erfasse Rechnung->End;5
Start->Lege Bestellposition an->Lehne Genehmigung ab->Erfasse Rechnung->End;6
Start->Lege Bestellposition an->Erteile Genehmigung->Wareneingang erfasst->Erfasse Rechnung->End;7
Start->Lege Bestellposition an->Erteile Genehmigung->Erfasse Rechnung->End;8
Start->Lehne Genehmigung ab->Lege Bestellposition an->End;9
Start->Lege Bestellposition an->Ändere Bestellposition->End;10
Start->Lege Bestellposition an->Erfasse Rechnung->End;11
Start->Lege Bestellposition an->Wareneingang erfasst->Erfasse Rechnung->End;12
Start->Erteile Genehmigung->Lege Bestellposition an->End;13
Start->Lege Bestellposition an->Ändere Bestellposition->Lehne Genehmigung ab->End;14
Start->Lege Bestellposition an->Ändere Bestellposition->Erteile Genehmigung->End;15
Start->Lege Bestellposition an->Lehne Genehmigung ab->Ändere Bestellposition->Wareneingang erfasst->Erfasse Rechnung->End;16
Start->Lehne Genehmigung ab->Lege Bestellposition an->Ändere Bestellposition->End;17
Start->Lege Bestellposition an->Lehne Genehmigung ab->Ändere Bestellposition->Erfasse Rechnung->End;18
Start->Lege Bestellposition an->Lehne Genehmigung ab->Wareneingang erfasst->Erfasse Rechnung->Gleiche Rechnung aus->End;19
Start->Lege Bestellposition an->Erteile Genehmigung->Ändere Bestellposition->Erfasse Rechnung->End;20
Start->Lege Bestellposition an->Erteile Genehmigung->Erfasse Rechnung->Gleiche Rechnung aus->End;21
Start->Erteile Genehmigung->Lege Bestellposition an->Ändere Bestellposition->End;22
Start->Lege Bestellposition an->Erteile Genehmigung->Ändere Bestellposition->Wareneingang erfasst->Erfasse Rechnung->End;23
Start->Lege Bestellposition an->Lehne Genehmigung ab->Erfasse Rechnung->Gleiche Rechnung aus->End;24
Start->Lege Bestellposition an->Erteile Genehmigung->Wareneingang erfasst->Erfasse Rechnung->Gleiche Rechnung aus->End;25
Start->Erteile Genehmigung->Lege Bestellposition an->Erfasse Rechnung->End;26
