filter;path_id
Start->Lehne Genehmigung Level 1 ab;488
Lehne Genehmigung Level 1 ab->Lege Bestellposition an;488
Lehne Genehmigung Level 1 ab;488
Lege Bestellposition an->Fordere Genehmigung Level 3 an;488
Lege Bestellposition an;488
Fordere Genehmigung Level 3 an->Fordere Genehmigung Level 2 an;488
Fordere Genehmigung Level 3 an;488
Fordere Genehmigung Level 2 an->Ändere Bestellposition: Menge;488
Fordere Genehmigung Level 2 an;488
Ändere Bestellposition: Menge->End;488
Ändere Bestellposition: Menge;488
Start->Lehne Genehmigung Level 1 ab;489
Lehne Genehmigung Level 1 ab->Lege Bestellposition an;489
Lehne Genehmigung Level 1 ab;489
Lege Bestellposition an->Fordere Genehmigung Level 3 an;489
Lege Bestellposition an;489
Fordere Genehmigung Level 3 an->Fordere Genehmigung Level 2 an;489
Fordere Genehmigung Level 3 an;489
Fordere Genehmigung Level 2 an->Ändere Bestellposition: Preis;489
Fordere Genehmigung Level 2 an;489
Ändere Bestellposition: Preis->End;489
Ändere Bestellposition: Preis;489
Start->Lege Bestellposition an;274
Lege Bestellposition an->Lehne Genehmigung Level 1 ab;274
Lege Bestellposition an;274
Lehne Genehmigung Level 1 ab->Fordere Genehmigung Level 2 an;274
Lehne Genehmigung Level 1 ab;274
Fordere Genehmigung Level 2 an->Erteile Genehmigung Level 3;274
Fordere Genehmigung Level 2 an;274
Erteile Genehmigung Level 3->Erfasse Rechnung;274
Erteile Genehmigung Level 3;274
Erfasse Rechnung->Gleiche Rechnung aus;274
Erfasse Rechnung;274
Gleiche Rechnung aus->End;274
Gleiche Rechnung aus;274
Start->Lege Bestellposition an;490
Lege Bestellposition an->Ändere Bestellposition: Material;490
Lege Bestellposition an;490
Ändere Bestellposition: Material->Erteile Genehmigung Level 1;490
Ändere Bestellposition: Material;490
Erteile Genehmigung Level 1->Lehne Wareneingang ab;490
Erteile Genehmigung Level 1;490
Lehne Wareneingang ab->Erfasse Rechnung;490
Lehne Wareneingang ab;490
Erfasse Rechnung->Gleiche Rechnung aus;490
Erfasse Rechnung;490
Gleiche Rechnung aus->End;490
Gleiche Rechnung aus;490
Start->Lege Bestellposition an;114
Lege Bestellposition an->Erteile Genehmigung Level 1;114
Lege Bestellposition an;114
Erteile Genehmigung Level 1->Lehne Wareneingang ab;114
Erteile Genehmigung Level 1;114
Lehne Wareneingang ab->Erfasse Rechnung;114
Lehne Wareneingang ab;114
Erfasse Rechnung->Gleiche Rechnung aus;114
Erfasse Rechnung;114
Gleiche Rechnung aus->End;114
Gleiche Rechnung aus;114
Start->Lege Bestellposition an;115
Lege Bestellposition an->Fordere Genehmigung Level 1 an;115
Lege Bestellposition an;115
Fordere Genehmigung Level 1 an->Fordere Genehmigung Level 2 an;115
Fordere Genehmigung Level 1 an;115
Fordere Genehmigung Level 2 an->Ändere Bestellposition: Material;115
Fordere Genehmigung Level 2 an;115
Ändere Bestellposition: Material->End;115
Ändere Bestellposition: Material;115
Start->Lege Bestellposition an;491
Lege Bestellposition an->Fordere Genehmigung Level 1 an;491
Lege Bestellposition an;491
Fordere Genehmigung Level 1 an->Fordere Genehmigung Level 2 an;491
Fordere Genehmigung Level 1 an;491
Fordere Genehmigung Level 2 an->Ändere Bestellposition: Menge;491
Fordere Genehmigung Level 2 an;491
Ändere Bestellposition: Menge->End;491
Ändere Bestellposition: Menge;491
Start->Erteile Genehmigung Level 1;492
Erteile Genehmigung Level 1->Lege Bestellposition an;492
Erteile Genehmigung Level 1;492
Lege Bestellposition an->Ändere Bestellposition: Preis;492
Lege Bestellposition an;492
Ändere Bestellposition: Preis->Lehne Wareneingang ab;492
Ändere Bestellposition: Preis;492
Lehne Wareneingang ab->Ändere Bestellung: Währung;492
Lehne Wareneingang ab;492
Ändere Bestellung: Währung->Erfasse Rechnung;492
Ändere Bestellung: Währung;492
Erfasse Rechnung->End;492
Erfasse Rechnung;492
Start->Erteile Genehmigung Level 1;275
Erteile Genehmigung Level 1->Lege Bestellposition an;275
Erteile Genehmigung Level 1;275
Lege Bestellposition an->Lehne Wareneingang ab;275
Lege Bestellposition an;275
Lehne Wareneingang ab->Ändere Bestellung: Währung;275
Lehne Wareneingang ab;275
Ändere Bestellung: Währung->Erfasse Rechnung;275
Ändere Bestellung: Währung;275
Erfasse Rechnung->End;275
Erfasse Rechnung;275
Start->Erteile Genehmigung Level 1;493
Erteile Genehmigung Level 1->Lege Bestellposition an;493
Erteile Genehmigung Level 1;493
Lege Bestellposition an->Ändere Bestellung: Währung;493
Lege Bestellposition an;493
Ändere Bestellung: Währung->Erfasse Wareneingang;493
Ändere Bestellung: Währung;493
Erfasse Wareneingang->Erfasse Rechnung;493
Erfasse Wareneingang;493
Erfasse Rechnung->End;493
Erfasse Rechnung;493
Start->Lege Bestellposition an;494
Lege Bestellposition an->Fordere Genehmigung Level 1 an;494
Lege Bestellposition an;494
Fordere Genehmigung Level 1 an->Fordere Genehmigung Level 2 an;494
Fordere Genehmigung Level 1 an;494
Fordere Genehmigung Level 2 an->Ändere Bestellposition: Preis;494
Fordere Genehmigung Level 2 an;494
Ändere Bestellposition: Preis->Lehne Wareneingang ab;494
Ändere Bestellposition: Preis;494
Lehne Wareneingang ab->Erfasse Rechnung;494
Lehne Wareneingang ab;494
Erfasse Rechnung->End;494
Erfasse Rechnung;494
Start->Lege Bestellposition an;495
Lege Bestellposition an->Fordere Genehmigung Level 1 an;495
Lege Bestellposition an;495
Fordere Genehmigung Level 1 an->Fordere Genehmigung Level 2 an;495
Fordere Genehmigung Level 1 an;495
Fordere Genehmigung Level 2 an->Erfasse Wareneingang;495
Fordere Genehmigung Level 2 an;495
Erfasse Wareneingang->Erfasse Rechnung;495
Erfasse Wareneingang;495
Erfasse Rechnung->End;495
Erfasse Rechnung;495
Start->Lege Bestellposition an;7
Lege Bestellposition an->Fordere Genehmigung Level 1 an;7
Lege Bestellposition an;7
Fordere Genehmigung Level 1 an->Erteile Genehmigung Level 2;7
Fordere Genehmigung Level 1 an;7
Erteile Genehmigung Level 2->End;7
Erteile Genehmigung Level 2;7
Start->Lege Bestellposition an;164
Lege Bestellposition an->Fordere Genehmigung Level 1 an;164
